line_cd,station_cd1,station_cd2,time
11107,1110707,1110708,120000
11107,1110708,1110709,120000
11107,1110709,1110710,120000
11107,1110710,1110711,120000
11107,1110711,1110712,120000
11107,1110712,1110713,120000
11107,1110713,1110714,120000
11107,1110714,1110715,120000
11107,1110715,1110716,120000
11107,1110716,1110717,120000
11107,1110717,1110718,120000
11107,1110718,1110719,120000
11107,1110719,1110720,120000
11107,1110720,1110721,120000
11107,1110721,1110722,120000
11107,1110722,1110723,120000
11107,1110723,1110724,120000
11107,1110724,1110725,120000
11107,1110725,1110726,120000
11107,1110726,1110727,120000
11107,1110727,1110728,120000
11107,1110728,1110729,120000
11107,1110729,1110730,120000
11107,1110730,1110731,120000
11108,1110801,1110802,120000
11108,1110802,1110803,120000
11108,1110803,1110804,120000
11108,1110804,1110805,120000
11108,1110805,1110806,120000
11108,1110806,1110807,120000
11108,1110807,1110808,120000
11108,1110808,1110809,120000
11108,1110809,1110810,120000
11108,1110810,1110811,120000
11108,1110811,1110812,120000
11108,1110812,1110813,120000
11108,1110813,1110814,120000
11108,1110814,1110815,120000
11108,1110815,1110816,120000
11108,1110816,1110817,120000
11108,1110817,1110818,120000
11108,1110818,1110820,120000
11108,1110820,1110821,120000
11109,1110901,1110902,120000
11109,1110902,1110903,120000
11109,1110903,1110904,120000
11109,1110904,1110906,120000
11109,1110905,1110906,120000
11109,1110906,1110907,120000
11109,1110907,1110908,120000
11109,1110908,1110909,120000
11109,1110909,1110910,120000
11109,1110910,1110911,120000
11109,1110911,1110912,120000
11109,1110912,1110913,120000
11109,1110913,1110914,120000
11109,1110914,1110915,120000
11109,1110915,1110916,120000
11109,1110916,1110917,120000
11109,1110917,1110918,120000
11109,1110918,1110919,120000
11110,1111001,1111002,120000
11110,1111002,1111004,120000
11110,1111004,1111005,120000
11110,1111005,1111007,120000
11110,1111007,1111008,120000
11110,1111007,1111013,120000
11110,1111008,1111009,120000
11110,1111009,1111010,120000
11110,1111010,1111011,120000
11110,1111011,1111012,120000
11110,1111013,1111014,120000
11110,1111014,1111015,120000
11111,1111101,1111102,120000
11111,1111102,1111103,120000
11111,1111103,1111104,120000
11111,1111104,1111105,120000
11111,1111105,1111106,120000
11111,1111106,1111107,120000
11111,1111107,1111108,120000
11111,1111108,1111109,120000
11111,1111109,1111110,120000
11111,1111110,1111111,120000
11111,1111111,1111112,120000
11111,1111112,1111113,120000
11111,1111113,1111114,120000
11111,1111114,1111115,120000
11111,1111115,1111117,120000
11111,1111117,1111118,120000
11111,1111118,1111119,120000
11111,1111119,1111120,120000
11111,1111120,1111121,120000
11111,1111121,1111122,120000
11111,1111122,1111123,120000
11111,1111123,1111124,120000
11111,1111124,1111125,120000
11111,1111125,1111126,120000
11111,1111126,1111127,120000
11111,1111127,1111128,120000
11111,1111128,1111129,120000
11111,1111129,1111130,120000
11112,1111201,1111202,120000
11112,1111202,1111203,120000
11112,1111203,1111204,120000
11112,1111204,1111205,120000
11112,1111205,1111206,120000
11112,1111206,1111207,120000
11112,1111207,1111208,120000
11112,1111208,1111209,120000
11112,1111209,1111210,120000
11112,1111210,1111211,120000
11112,1111211,1111212,120000
11112,1111212,1111213,120000
11112,1111213,1111214,120000
11112,1111214,1111215,120000
11112,1111215,1111216,120000
11112,1111216,1111217,120000
11112,1111217,1111218,120000
11112,1111218,1111219,120000
11112,1111219,1111220,120000
11112,1111220,1111221,120000
11112,1111221,1111222,120000
11112,1111222,1111223,120000
11112,1111223,1111224,120000
11112,1111224,1111225,120000
11112,1111225,1111226,120000
11112,1111226,1111227,120000
11112,1111227,1111228,120000
11112,1111228,1111229,120000
11112,1111229,1111230,120000
11113,1111301,1111302,120000
11113,1111302,1111303,120000
11113,1111303,1111304,120000
11113,1111304,1111305,120000
11113,1111305,1111306,120000
11113,1111306,1111307,120000
11113,1111307,1111308,120000
11113,1111308,1111309,120000
11113,1111309,1111310,120000
11113,1111310,1111311,120000
11113,1111311,1111312,120000
11113,1111312,1111313,120000
11113,1111313,1111315,120000
11113,1111315,1111316,120000
11113,1111316,1111317,120000
11113,1111317,1111318,120000
11113,1111318,1111319,120000
11113,1111319,1111320,120000
11113,1111320,1111321,120000
11114,1111401,1111402,120000
11114,1111402,1111403,120000
11114,1111403,1111404,120000
11114,1111404,1111405,120000
11114,1111405,1111406,120000
11114,1111406,1111407,120000
11114,1111407,1111408,120000
11114,1111408,1111409,120000
11114,1111409,1111410,120000
11114,1111410,1111411,120000
11114,1111411,1111412,120000
11114,1111412,1111413,120000
11114,1111413,1111414,120000
11114,1111414,1111415,120000
11114,1111415,1111416,120000
11114,1111416,1111417,120000
11114,1111417,1111418,120000
11115,1111501,1111502,120000
11115,1111502,1111503,120000
11115,1111503,1111504,120000
11115,1111504,1111505,120000
11115,1111505,1111506,120000
11115,1111506,1111507,120000
11115,1111507,1111508,120000
11115,1111508,1111509,120000
11115,1111509,1111510,120000
11115,1111510,1111511,120000
11115,1111511,1111512,120000
11115,1111512,1111513,120000
11115,1111513,1111514,120000
11115,1111514,1111515,120000
11115,1111515,1111516,120000
11115,1111516,1111517,120000
11115,1111517,1111518,120000
11115,1111518,1111519,120000
11115,1111519,1111520,120000
11115,1111520,1111521,120000
11115,1111521,1111522,120000
11115,1111522,1111523,120000
11115,1111523,1111524,120000
11115,1111524,1111525,120000
11115,1111525,1111526,120000
11115,1111526,1111527,120000
11115,1111527,1111528,120000
11115,1111528,1111529,120000
11115,1111529,1111530,120000
11115,1111530,1111531,120000
11115,1111531,1111532,120000
11115,1111532,1111533,120000
11115,1111533,1111534,120000
11115,1111534,1111535,120000
